Circuit Name,Grand Prix,Track Length (km),Turns,Type,Fastest Lap Time (2024),Low Speed Corners,Medium Speed Corners,High Speed Corners,Elevation Change (m),Straights,DRS Zones,Humidity,Time of Day,Temperature
Bahrain International Circuit,Bahrain,5.412,15,Race circuit,01:32.6,3,6,6,16.9,High,3,Low-Moderate,Night,High
Jeddah Corniche Circuit,Saudi Arabia,6.174,27,Street circuit,01:31.6,3,5,19,2.8,High,3,Moderate-High,Night,High
Albert Park Circuit,Australia,5.278,14,Street circuit,01:19.8,3,3,8,2.6,Medium,4,Moderate,Day,Moderate
Suzuka International Racing Course,Japan,5.807,18,Race circuit,01:33.7,3,4,11,40.4,Medium,1,Moderate,Day,Moderate
Shanghai International Circuit,China,5.451,16,Race circuit,01:37.8,5,5,6,7.4,High,2,Moderate,Day,Moderate
Miami International Autodrome,Miami,5.412,19,Street circuit,01:30.6,7,4,8,7,High,3,High,Day,High
Autodromo Internazionale Enzo e Dino Ferrari,Emilia-Romagna,4.909,19,Race circuit,01:18.6,4,3,12,30,Medium,1,Moderate,Day,Moderate
Circuit de Monaco,Monaco,3.337,19,Street circuit,01:14.2,7,7,5,42,Low,1,Moderate,Day,Moderate
Circuit Gilles Villeneuve,Canada,4.361,14,Street circuit,01:14.9,3,9,2,5.2,Medium,3,Moderate,Day,Moderate
Circuit de Barcelona-Catalunya,Spain,4.657,14,Race circuit,01:17.1,1,7,6,29.6,Medium,2,Low-Moderate,Day,Moderate
Red Bull Ring,Austria,4.318,10,Race circuit,01:07.7,1,2,7,63.5,High,3,Moderate,Day,Moderate
Silverstone Circuit,Great Britain,5.891,18,Race circuit,01:28.3,2,3,13,11.3,Medium,2,Moderate-High,Day,Moderate
Hungaroring,Hungary,4.381,14,Race circuit,01:20.3,4,7,3,34.7,Low,2,Low-Moderate,Day,High
Circuit de Spa-Francorchamps,Belgium,7.004,20,Race circuit,01:44.7,4,6,9,102.2,Medium,2,High,Day,Moderate
Circuit Zandvoort,Netherlands,4.259,14,Race circuit,01:13.8,4,3,7,8.84,Medium,2,Moderate,Day,Moderate
Autodromo Nazionale di Monza,Italy,5.793,11,Race circuit,01:21.4,2,4,5,12.8,High,2,Moderate,Day,Moderate
Baku City Circuit,Azerbaijan,6.003,20,Street circuit,01:45.3,12,1,7,26.8,High,2,Low-Moderate,Day,High
Marina Bay Street Circuit,Singapore,4.94,19,Street circuit,01:34.5,8,8,3,5.3,Medium,4,Very High,Night,High
Circuit of the Americas,United States,5.513,20,Race circuit,01:37.3,6,4,10,30.9,Medium,2,Low-Moderate,Day,Moderate
Autodromo Hermanos Rodriguez,Mexico,4.304,17,Race circuit,01:18.3,8,6,3,2.8,High,3,Moderate,Day,Moderate
Autodromo Jose Carlos Pace,Brazil,4.309,15,Race circuit,01:20.5,5,4,6,43,Medium,2,High,Day,Moderate
Las Vegas Strip Circuit,Las Vegas,6.201,17,Street circuit,01:34.9,7,3,7,0,High,2,Low,Night,Low
Lusail International Circuit,Qatar,5.419,16,Race circuit,01:22.4,1,6,9,5,High,1,Low,Night,Moderate
Yas Marina Circuit,Abu Dhabi,5.281,16,Race circuit,01:25.6,4,6,6,10.7,High,2,Low-Moderate,Night,High